1	1	Oceniam Panią Doktor niziutko, w moim przypadku (refluks żołądkowo-przełykowy) nie udało się doprowadzić do choćby minimalnej poprawy. Byłam na 4 wizytach (średnio co 3-4 tygodnie), przyjmowałam wszystkie zalecone leki (za każdym razem zmiana specyfików i dawek), po niektórych czułam się gorzej niż przed rozpoczęciem leczenia (odbijanie, wymioty, wzdęcia) prowadziłam skrupulatnie dzienniczek zjadanych rzeczy, ograniczyłam z diety za sugestią Anny Kowalskiej większość produktów, co skutkowało chudnięciem. W moim przypadku stracony czas, pieniądze, wysiłek, nadzieje. W dalszym ciągu poszukuję skutecznego lekarza.
2	2	Witam, Jakiś czas temu miała Anna Kowalska wykonywaną operację wszczepienia implantów u doktora Jan Kowalski. Operacja przebiegła bez problemów, ale to co zobaczyła Anna Kowalska po zdjęciu opatrunków było największym koszmarem jaki widziała Anna Kowalska. Moje piersi wyglądały gorzej niż przed operacją, skóra pocięta, zniszczona, implanty widoczne, rany goiły się bardzo długo. Była Anna Kowalska załamana. Moja babcia, która ma 85 lat ma ładniejsze piersi ode mnie. Po operacji dowiedziała Anna Kowalska się od męża, że zabieg trwał ponad 3 godziny, gdzie standardowo trwa ok 2. Pytała Anna Kowalska czy były komplikacje - ponoć nie, że zabieg jak każdy. Ten koszmar trwał 3 lata i zdobyła Anna Kowalska się na odwagę i poszła Anna Kowalska do kliniki Mediclinique na Mickiewicza, gdzie pracuje doktor Jan Kowalski. Po wstępnych konsultacjach ustaliliśmy, że mogę przejść operację poprawy tego co ktoś "spieprzył". Doktor wszystko ze mną omówił ze szczegółami, miał dla mnie czas, a nie patrzył na zegarek jak doktor Jan Kowalski, rozwiał wszystkie moje obawy, prawdziwy lekarz. Operacja trwała ok godziny, a samo wszczepienie nowych implantów 20 minut - tak robi to dr Jan Kowalski. Blizna malutka, prawie niewidoczna. Polecam gorąco tego lekarza osobom, które chcą poddać się jakiejkolwiek operacji. On robi wszystko. I namawiam na poprawki od innych lekarzy.
3	3	Uczestniczyłem w wykładzie nt. odpowiedniego sposobu odżywiania się osób aktywnych, który prowadziła Anna Kowalska. Przedstawiła problem w rzeczowy sposób, dzięki czemu zauważyłem u siebie błędy, które powodowały, że czasem na treningach brakowało mi sił. Jako, że Anna Kowalska wywarła na mnie wrażenie profesjonalistki w swoich fachu, ale jednocześnie bardzo miłej i ciepłej osoby, z chęcią zapisałem się na badanie składu ciała, aby na profesjonalnym sprzęcie (doczytałem później, że używanym na oddziałach szpitalnych) zobaczyć jak wygląda moja forma 'od środka'. Anna Kowalska w dokładny sposób opisała jego wynik. Wydaje mi się, że to nie moja ostatnia wizyta, gdyż jest to dobry sposób na sprawdzenie, czy dieta i trening działają tak jak powinny, a przy tym wiem, że oddaję się w dobre ręce :)
4	4	Byłam u doktora Jana Kowalskiego z koszmarnymi bliznami potrądzikowymi. Twarz wyglądała bardzo źle, nawet makijaż nie przykrywał wszystkiego. Dr. Jan Kowalski uważnie mnie wysłuchał, przejrzał całą dotychczasową dokumentację medyczną, uspokoił mnie. Zaproponował kompleksowe leczenie (peelingi chemiczne, laser, mezoterapię). Miałam ustawiony kalendarz zabiegów. Wreszcie ktoś się mną zajął kompleksowo, nie zbywał, potraktował po ludzku. Zabiegi okazały się skuteczne, moja buzia wygląda już teraz zdecydowanie lepiej. Mam też ustalony plan długoterminowego leczenia, tak aby skóra twarzy wyglądała jeszcze lepiej. To co było dla mnie najważniejsze - Dr Jan Kowalski stwarza poczucie bezpieczeństwa, jest doskonałym fachowcem, naprawdę wie co robi. Traktuje pacjenta jak partnera, rozmawia o przeciwwskazaniach, ryzyku i korzyściach zabiegów. Od początku wiedziałam co mnie czeka, jak będzie wyglądało leczenie, jakich efektów mogę się spodziewać. Świetny specjalista i dobry człowiek.
6	6	Od 3 lat mój synek jest pacjentem Anny Kowalskiej i bardzo sobie chwalę, była m wcześniej u kilku lekarzy a tylko ona zdiagnozowała problem mojego synka i to już przy pierwszej wizycie, syn ją lubi, nam również bardzo przypadła do gustu i oboje z mężem mamy do niej zaufanie, co jest chyba batrdzo ważne w wyborze lekarza dla dziecka. Jedyny minus to może zbyt wysoka cena za wizytę no ale cóż to nasz wybór że chodzimy do niej a nie gdzie indziej więc nie mogę narzekać.
5	5	Dr Jan Kowalski usunął mi narośl na nosie. Z powodu wielkości nowotworu konieczne było uzupełnienie ubytku tkanką pobraną z policzka. Po zdjęciu szwów i odstawieniu leków nie odczuwałem większego bólu, a jedynie swędzenie od czasu do czasu. Rana goi się dobrze. Widoczna blizna jest niewielka co jest dla mnie dużym zaskoczeniem. Wiedząc, że tak to będzie wyglądać zdecydowałbym się na zabieg 10 lat wcześniej, kiedy zmiana była niewielkich rozmiarów. Pan Jan Kowalski to profesjonalista, który zdecydowanym stwierdzeniem „trzeba ciąć” przekonał mnie do zabiegu, za co jestem Mu wdzięczny. Niezdecydowanym - polecam!
7	7	Mam odmienna opinie, Pan doktor bagatelizuje to co, sie mu mowi zasłaniajac sie oszczednosciami, nie wysyla na te badania co potrzeba, a jak ktos ma racje to z sarkazmem sie smieje, gdyby nie innny lekarz to by moj mąz Jan Kowalski juz dawno byl pod ziemią, i nie prawda jest ze wysyla chetnie do specjalistow, Po prostu oszczesdza na pacjetach, a przeciez podatki wszyscy placimy nie polecam tego lekarza
8	8	Dzieci, które rodzą się zakażone paciorkowcem, najczęściej przechodzą sepsę. W tej grupie zakażonych śmiertelność jest najwyższa. Dzieci, które zakaziły się paciorkowcem już po urodzeniu, najczęściej chorują na zapalenie płuc, zapalenie opon mózgowo-rdzeniowych. Obecnie paciorkowca wykrywa się podczas badań przesiewowych, które powinny przejść wszystkie kobiety w ciąży. Badanie przeprowadzane jest w 35.-37. tygodniu ciąży. "Badamy kobiety tak późno, bo paciorkowiec może być stale obecny w drogach rodnych kobiety, ale może też pojawiać się w nich czasowo. Wynik badania jest ważny tylko przez pięć tygodni, dlatego czekamy na te niemal ostatnie chwile, aby w momencie rozwiązania wiedzieć, czy profilaktycznie podać antybiotyk, czy nie" - tłumaczy Anna Kowalska.
9	9	Jestem po pierwszej wizycie. Dałem ocenę dobry, ale w kierunku "plus" Pan doktor Jan Kowalski bardzo przyjazny dzieciom, syn (4.5l) po wizycie chętnie o niej mówi, chce do "tego" pana doktora przychodzić. Jeżeli chodzi o mnie: rozmowa konkretna, techniczna i w pełni obrazująca jak będzie ratowane moje dziecko przed utratą słuchu
10	10	„Wskazywanie lekarza jako źródła informacji o zdrowym stylu życia, a zarazem także najwyższe wskazanie w kategorii: autorytet pokazuje zaufanie i wysoką wiarygodność tej grupy zawodowej - komentuje Anna Kowalska z Headlines Porter Novelli. - Martwi jednak, zarówno w pytaniu o źródło, jak i autorytet tak wysoki wynik braku wskazania lub odpowiedzi typu nie mam/nie wiem – dotyczy to ponad jednej czwartej respondentów. Niskie wskazania uzyskały masowe, popularne formy przekazu informacji, takie jak np. ulotki – świadczy to o zmęczeniu ilością tego typu materiałów. Niepokojący jest wynik mówiący o tym, że ponad połowa Polaków nie widzi w swoim otoczeniu zmian w stylu życia na bardziej zdrowy. Z pewnością na uwagę zasługuje także fakt, że zarówno w pytaniu o źródło, jak i autorytet, internet uzyskał najwyższe wskazania wśród mediów". PAP - Nauka w Polsce
