line_number	opinion_number	domain	original_text	translated_text	timestamp
1	1	medycyna	Oceniam Panią Doktor niziutko, w moim przypadku (refluks żołądkowo-przełykowy) nie udało się doprowadzić do choćby minimalnej poprawy. Byłam na 4 wizytach (średnio co 3-4 tygodnie), przyjmowałam wszystkie zalecone leki (za każdym razem zmiana specyfików i dawek), po niektórych czułam się gorzej niż przed rozpoczęciem leczenia (odbijanie, wymioty, wzdęcia) prowadziłam skrupulatnie dzienniczek zjadanych rzeczy, ograniczyłam z diety za sugestią Anny Kowalskiej większość produktów, co skutkowało chudnięciem. W moim przypadku stracony czas, pieniądze, wysiłek, nadzieje. W dalszym ciągu poszukuję skutecznego lekarza.	I rate the doctor very low. In my case (gastroesophageal reflux), it was not possible to achieve even minimal improvement. I had 4 visits (on average every 3-4 weeks), took all prescribed medications (each time with changes in medications and dosages), and after some of them, I felt worse than before starting the treatment (belching, vomiting, bloating). I meticulously kept a diary of the foods I ate and, following Anna Kowalska's suggestion, eliminated most products from my diet, which resulted in weight loss. In my case, it was a waste of time, money, effort, and hopes. I am still searching for an effective doctor.	2025-08-22T12:57:05.869048
2	2	medycyna	"Witam, Jakiś czas temu miała Anna Kowalska wykonywaną operację wszczepienia implantów u doktora Jan Kowalski. Operacja przebiegła bez problemów, ale to co zobaczyła Anna Kowalska po zdjęciu opatrunków było największym koszmarem jaki widziała Anna Kowalska. Moje piersi wyglądały gorzej niż przed operacją, skóra pocięta, zniszczona, implanty widoczne, rany goiły się bardzo długo. Była Anna Kowalska załamana. Moja babcia, która ma 85 lat ma ładniejsze piersi ode mnie. Po operacji dowiedziała Anna Kowalska się od męża, że zabieg trwał ponad 3 godziny, gdzie standardowo trwa ok 2. Pytała Anna Kowalska czy były komplikacje - ponoć nie, że zabieg jak każdy. Ten koszmar trwał 3 lata i zdobyła Anna Kowalska się na odwagę i poszła Anna Kowalska do kliniki Mediclinique na Mickiewicza, gdzie pracuje doktor Jan Kowalski. Po wstępnych konsultacjach ustaliliśmy, że mogę przejść operację poprawy tego co ktoś ""spieprzył"". Doktor wszystko ze mną omówił ze szczegółami, miał dla mnie czas, a nie patrzył na zegarek jak doktor Jan Kowalski, rozwiał wszystkie moje obawy, prawdziwy lekarz. Operacja trwała ok godziny, a samo wszczepienie nowych implantów 20 minut - tak robi to dr Jan Kowalski. Blizna malutka, prawie niewidoczna. Polecam gorąco tego lekarza osobom, które chcą poddać się jakiejkolwiek operacji. On robi wszystko. I namawiam na poprawki od innych lekarzy."	"Hello, some time ago, Anna Kowalska had an implant surgery performed by Dr. Jan Kowalski. The surgery went without problems, but what Anna Kowalska saw after the bandages were removed was the biggest nightmare she had ever seen. My breasts looked worse than before the surgery, the skin was cut, damaged, the implants were visible, and the wounds took a very long time to heal. Anna Kowalska was devastated. My grandmother, who is 85 years old, has nicer breasts than I do. After the surgery, Anna Kowalska learned from her husband that the procedure lasted over 3 hours, whereas it typically takes about 2. She asked if there were complications—apparently not, and that it was just like any other procedure. This nightmare lasted for 3 years, and Anna Kowalska gathered the courage and went to the Mediclinique clinic on Mickiewicza, where Dr. Jan Kowalski works. After initial consultations, we determined that I could undergo a corrective surgery to fix what someone ""messed up."" The doctor discussed everything with me in detail, had time for me, and didn't watch the clock like Dr. Jan Kowalski did. He dispelled all my concerns—a true doctor. The surgery lasted about an hour, and the actual implantation of the new implants took 20 minutes—that's how Dr. Jan Kowalski does it. The scar is tiny, almost invisible. I highly recommend this doctor to anyone considering any surgery. He does everything. And I encourage corrections from other doctors."	2025-08-22T12:57:21.836176
3	3	medycyna	Uczestniczyłem w wykładzie nt. odpowiedniego sposobu odżywiania się osób aktywnych, który prowadziła Anna Kowalska. Przedstawiła problem w rzeczowy sposób, dzięki czemu zauważyłem u siebie błędy, które powodowały, że czasem na treningach brakowało mi sił. Jako, że Anna Kowalska wywarła na mnie wrażenie profesjonalistki w swoich fachu, ale jednocześnie bardzo miłej i ciepłej osoby, z chęcią zapisałem się na badanie składu ciała, aby na profesjonalnym sprzęcie (doczytałem później, że używanym na oddziałach szpitalnych) zobaczyć jak wygląda moja forma 'od środka'. Anna Kowalska w dokładny sposób opisała jego wynik. Wydaje mi się, że to nie moja ostatnia wizyta, gdyż jest to dobry sposób na sprawdzenie, czy dieta i trening działają tak jak powinny, a przy tym wiem, że oddaję się w dobre ręce :)	"I attended a lecture on proper nutrition for active individuals, led by Anna Kowalska. She presented the topic in a factual manner, which helped me notice mistakes I was making that sometimes left me lacking energy during workouts. Since Anna Kowalska struck me as a professional in her field, yet also a very kind and warm person, I gladly signed up for a body composition analysis. I wanted to see my fitness level ""from the inside"" using professional equipment (I later found out it's the same type used in hospital departments). Anna Kowalska thoroughly explained the results. I suspect this won't be my last visit, as it's a great way to check whether my diet and training are working as they should, and I know I'm in good hands :)"	2025-08-22T12:57:59.517226
4	4	medycyna	Byłam u doktora Jana Kowalskiego z koszmarnymi bliznami potrądzikowymi. Twarz wyglądała bardzo źle, nawet makijaż nie przykrywał wszystkiego. Dr. Jan Kowalski uważnie mnie wysłuchał, przejrzał całą dotychczasową dokumentację medyczną, uspokoił mnie. Zaproponował kompleksowe leczenie (peelingi chemiczne, laser, mezoterapię). Miałam ustawiony kalendarz zabiegów. Wreszcie ktoś się mną zajął kompleksowo, nie zbywał, potraktował po ludzku. Zabiegi okazały się skuteczne, moja buzia wygląda już teraz zdecydowanie lepiej. Mam też ustalony plan długoterminowego leczenia, tak aby skóra twarzy wyglądała jeszcze lepiej. To co było dla mnie najważniejsze - Dr Jan Kowalski stwarza poczucie bezpieczeństwa, jest doskonałym fachowcem, naprawdę wie co robi. Traktuje pacjenta jak partnera, rozmawia o przeciwwskazaniach, ryzyku i korzyściach zabiegów. Od początku wiedziałam co mnie czeka, jak będzie wyglądało leczenie, jakich efektów mogę się spodziewać. Świetny specjalista i dobry człowiek.	I visited Dr. Jan Kowalski with terrible post-acne scars. My face looked very bad; even makeup couldn't cover everything. Dr. Jan Kowalski listened to me carefully, reviewed all my previous medical records, and reassured me. He proposed a comprehensive treatment plan (chemical peels, laser, mesotherapy). I had a schedule of procedures set up. Finally, someone took care of me comprehensively, didn't dismiss me, and treated me humanely. The treatments turned out to be effective; my face now looks much better. I also have a long-term treatment plan in place to make my facial skin look even better. What was most important to me—Dr. Jan Kowalski creates a sense of security, is an excellent specialist, and really knows what he's doing. He treats the patient as a partner, discussing contraindications, risks, and benefits of the procedures. From the beginning, I knew what to expect, how the treatment would look, and what results I could anticipate. A great specialist and a good person.	2025-08-22T12:58:06.377928
6	6	medycyna	Od 3 lat mój synek jest pacjentem Anny Kowalskiej i bardzo sobie chwalę, była m wcześniej u kilku lekarzy a tylko ona zdiagnozowała problem mojego synka i to już przy pierwszej wizycie, syn ją lubi, nam również bardzo przypadła do gustu i oboje z mężem mamy do niej zaufanie, co jest chyba batrdzo ważne w wyborze lekarza dla dziecka. Jedyny minus to może zbyt wysoka cena za wizytę no ale cóż to nasz wybór że chodzimy do niej a nie gdzie indziej więc nie mogę narzekać.	For 3 years, my little son has been a patient of Anna Kowalska, and I highly recommend her. I had been to several doctors before, but only she diagnosed my son's problem, and that was already during the first visit. My son likes her, and we also took a great liking to her, and both my husband and I trust her, which is probably very important when choosing a doctor for a child. The only downside might be the rather high price for a visit, but well, it's our choice to go to her and not somewhere else, so I can't complain.	2025-08-22T12:58:37.642355
5	5	medycyna	Dr Jan Kowalski usunął mi narośl na nosie. Z powodu wielkości nowotworu konieczne było uzupełnienie ubytku tkanką pobraną z policzka. Po zdjęciu szwów i odstawieniu leków nie odczuwałem większego bólu, a jedynie swędzenie od czasu do czasu. Rana goi się dobrze. Widoczna blizna jest niewielka co jest dla mnie dużym zaskoczeniem. Wiedząc, że tak to będzie wyglądać zdecydowałbym się na zabieg 10 lat wcześniej, kiedy zmiana była niewielkich rozmiarów. Pan Jan Kowalski to profesjonalista, który zdecydowanym stwierdzeniem „trzeba ciąć” przekonał mnie do zabiegu, za co jestem Mu wdzięczny. Niezdecydowanym - polecam!	"Dr. Jan Kowalski removed a growth from my nose. Due to the size of the tumor, it was necessary to fill the defect with tissue taken from my cheek. After the stitches were removed and I stopped taking medication, I did not feel much pain, only occasional itching. The wound is healing well. The visible scar is small, which is a big surprise to me. Knowing it would look like this, I would have decided to undergo the procedure 10 years earlier when the lesion was small. Mr. Jan Kowalski is a professional who convinced me to undergo the procedure with his firm statement ""we need to cut,"" for which I am grateful to him. To those who are hesitant—I recommend him!"	2025-08-22T12:58:42.829405
7	7	medycyna	Mam odmienna opinie, Pan doktor bagatelizuje to co, sie mu mowi zasłaniajac sie oszczednosciami, nie wysyla na te badania co potrzeba, a jak ktos ma racje to z sarkazmem sie smieje, gdyby nie innny lekarz to by moj mąz Jan Kowalski juz dawno byl pod ziemią, i nie prawda jest ze wysyla chetnie do specjalistow, Po prostu oszczesdza na pacjetach, a przeciez podatki wszyscy placimy nie polecam tego lekarza	I have a different opinion. The doctor downplays what is being said to him, hiding behind savings. He does not refer patients for the necessary tests, and if someone is right, he laughs sarcastically. If it weren't for another doctor, my husband, Jan Kowalski, would have been long gone. And it is not true that he willingly refers patients to specialists. He simply saves money at the expense of patients, even though we all pay taxes. I do not recommend this doctor.	2025-08-22T12:59:16.216128
8	8	medycyna	"Dzieci, które rodzą się zakażone paciorkowcem, najczęściej przechodzą sepsę. W tej grupie zakażonych śmiertelność jest najwyższa. Dzieci, które zakaziły się paciorkowcem już po urodzeniu, najczęściej chorują na zapalenie płuc, zapalenie opon mózgowo-rdzeniowych. Obecnie paciorkowca wykrywa się podczas badań przesiewowych, które powinny przejść wszystkie kobiety w ciąży. Badanie przeprowadzane jest w 35.-37. tygodniu ciąży. ""Badamy kobiety tak późno, bo paciorkowiec może być stale obecny w drogach rodnych kobiety, ale może też pojawiać się w nich czasowo. Wynik badania jest ważny tylko przez pięć tygodni, dlatego czekamy na te niemal ostatnie chwile, aby w momencie rozwiązania wiedzieć, czy profilaktycznie podać antybiotyk, czy nie"" - tłumaczy Anna Kowalska."	"Children who are born infected with streptococcus most often develop sepsis. In this group of infected individuals, the mortality rate is the highest. Children who become infected with streptococcus after birth most commonly develop pneumonia or meningitis. Currently, streptococcus is detected through screening tests that all pregnant women should undergo. The test is conducted between the 35th and 37th week of pregnancy. ""We test women so late because streptococcus can be constantly present in a woman's birth canal, but it can also appear there temporarily. The test result is only valid for five weeks, which is why we wait until almost the last moment to know at the time of delivery whether to administer antibiotics prophylactically or not,"" explains Anna Kowalska."	2025-08-22T12:59:22.556967
9	9	medycyna	"Jestem po pierwszej wizycie. Dałem ocenę dobry, ale w kierunku ""plus"" Pan doktor Jan Kowalski bardzo przyjazny dzieciom, syn (4.5l) po wizycie chętnie o niej mówi, chce do ""tego"" pana doktora przychodzić. Jeżeli chodzi o mnie: rozmowa konkretna, techniczna i w pełni obrazująca jak będzie ratowane moje dziecko przed utratą słuchu"	"I am after my first visit. I gave a rating of good, but leaning towards ""plus."" Dr. Jan Kowalski is very friendly with children; my son (4.5 years old) willingly talks about the visit afterward and wants to come back to ""this"" doctor. As for me: the conversation was specific, technical, and fully illustrated how my child will be saved from hearing loss."	2025-08-22T12:59:50.389145
10	10	medycyna	"„Wskazywanie lekarza jako źródła informacji o zdrowym stylu życia, a zarazem także najwyższe wskazanie w kategorii: autorytet pokazuje zaufanie i wysoką wiarygodność tej grupy zawodowej - komentuje Anna Kowalska z Headlines Porter Novelli. - Martwi jednak, zarówno w pytaniu o źródło, jak i autorytet tak wysoki wynik braku wskazania lub odpowiedzi typu nie mam/nie wiem – dotyczy to ponad jednej czwartej respondentów. Niskie wskazania uzyskały masowe, popularne formy przekazu informacji, takie jak np. ulotki – świadczy to o zmęczeniu ilością tego typu materiałów. Niepokojący jest wynik mówiący o tym, że ponad połowa Polaków nie widzi w swoim otoczeniu zmian w stylu życia na bardziej zdrowy. Z pewnością na uwagę zasługuje także fakt, że zarówno w pytaniu o źródło, jak i autorytet, internet uzyskał najwyższe wskazania wśród mediów"". PAP - Nauka w Polsce"	"""Pointing to a doctor as a source of information on a healthy lifestyle, while also being the highest indication in the category of authority, shows the trust and high credibility of this professional group - comments Anna Kowalska from Headlines Porter Novelli. - However, it is concerning that, both in the question about the source and authority, such a high result of no indication or answers like 'I don't have/I don't know' was recorded - this applies to over a quarter of respondents. Mass, popular forms of information dissemination, such as leaflets, received low indications - this indicates fatigue with the quantity of such materials. The result stating that over half of Poles do not see changes in their environment towards a healthier lifestyle is alarming. Certainly, it is also worth noting that, both in the question about the source and authority, the internet received the highest indications among the media."" PAP - Science in Poland"	2025-08-22T13:00:02.697007
